Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Sunday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/01
 2,Monday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/02
 3,Tuesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/03
 4,Wednesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/04
 5,Thursday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/05
 6,Friday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/06
 7,Saturday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/07
 8,Sunday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/08
 9,Monday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/09
10,Tuesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/10
11,Wednesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/11
12,Thursday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/12
13,Friday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/13
14,Saturday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/14
15,Sunday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/15
16,Monday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/16
17,Tuesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/17
18,Wednesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/18
19,Thursday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/19
20,Friday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/20
21,Saturday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/21
22,Sunday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/22
23,Monday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/23
24,Tuesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/24
25,Wednesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/25
26,Thursday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/26
27,Friday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/27
28,Saturday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/28
29,Sunday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/29
30,Monday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/30
31,Tuesday,Session day of unknown type,False,Session day of unknown type,False,https://api.parliament.uk/egg-timer/calendar/2027/08/31
