Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/01
 2,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/02
 3,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/03
 4,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/04
 5,Friday,Adjournment day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/05
 6,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/06
 7,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/07
 8,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/08
 9,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/09
10,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/10
11,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/11
12,Friday,Adjournment day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/12
13,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/13
14,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/14
15,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/15
16,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/16
17,Wednesday,Adjournment day (Conference recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/17
18,Thursday,Adjournment day (Conference recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/18
19,Friday,Adjournment day (Conference recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/09/19
20,Saturday,Adjournment day (Conference recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2025/09/20
21,Sunday,Adjournment day (Conference recess),False,Adjournment day,False,https://api.parliament.uk/egg-timer/calendar/2025/09/21
22,Monday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/22
23,Tuesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/23
24,Wednesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/24
25,Thursday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/25
26,Friday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/26
27,Saturday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/27
28,Sunday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/28
29,Monday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/29
30,Tuesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2025/09/30
