Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Friday,Adjournment day (Easter recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/01
 2,Saturday,Adjournment day (Easter recess),False,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/02
 3,Sunday,Adjournment day (Easter recess),False,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/03
 4,Monday,Adjournment day (Easter recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/04
 5,Tuesday,Adjournment day (Easter recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/05
 6,Wednesday,Adjournment day (Easter recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/06
 7,Thursday,Adjournment day (Easter recess),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/07
 8,Friday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/08
 9,Saturday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/09
10,Sunday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/10
11,Monday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/11
12,Tuesday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/12
13,Wednesday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/13
14,Thursday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/14
15,Friday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/15
16,Saturday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/16
17,Sunday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/17
18,Monday,Adjournment day (Easter recess),False,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/18
19,Tuesday,Parliamentary sitting day,True,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/19
20,Wednesday,Parliamentary sitting day,True,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/20
21,Thursday,Parliamentary sitting day,True,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/21
22,Friday,Adjournment day,True,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/22
23,Saturday,Adjournment day,True,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/23
24,Sunday,Adjournment day,True,Adjournment day (Lords recess),False,https://api.parliament.uk/egg-timer/calendar/2022/04/24
25,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/25
26,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/26
27,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/27
28,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/04/28
29,Friday,Prorogation,False,Prorogation,False,https://api.parliament.uk/egg-timer/calendar/2022/04/29
30,Saturday,Prorogation,False,Prorogation,False,https://api.parliament.uk/egg-timer/calendar/2022/04/30
