Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Wednesday,Adjournment day (Summer recess (post recall)),False,Adjournment day (Summer recess (post recall)),False,https://api.parliament.uk/egg-timer/calendar/2021/09/01
 2,Thursday,Adjournment day (Summer recess (post recall)),False,Adjournment day (Summer recess (post recall)),False,https://api.parliament.uk/egg-timer/calendar/2021/09/02
 3,Friday,Adjournment day (Summer recess (post recall)),False,Adjournment day (Summer recess (post recall)),False,https://api.parliament.uk/egg-timer/calendar/2021/09/03
 4,Saturday,Adjournment day (Summer recess (post recall)),False,Adjournment day (Summer recess (post recall)),False,https://api.parliament.uk/egg-timer/calendar/2021/09/04
 5,Sunday,Adjournment day (Summer recess (post recall)),False,Adjournment day (Summer recess (post recall)),False,https://api.parliament.uk/egg-timer/calendar/2021/09/05
 6,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/06
 7,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/07
 8,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/08
 9,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/09
10,Friday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/10
11,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/11
12,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/12
13,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/13
14,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/14
15,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/15
16,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2021/09/16
17,Friday,Adjournment day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/17
18,Saturday,Adjournment day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/18
19,Sunday,Adjournment day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/19
20,Monday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/20
21,Tuesday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/21
22,Wednesday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/22
23,Thursday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/23
24,Friday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/24
25,Saturday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/25
26,Sunday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/26
27,Monday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/27
28,Tuesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/28
29,Wednesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/29
30,Thursday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2021/09/30
