Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Thursday,Adjournment day (Summer recess),False,Adjournment day (Summer recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/01
 2,Friday,Adjournment day (Summer recess),False,Adjournment day (Summer recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/02
 3,Saturday,Adjournment day (Summer recess),False,Adjournment day (Summer recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/03
 4,Sunday,Adjournment day (Summer recess),False,Adjournment day (Summer recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/04
 5,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/05
 6,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/06
 7,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/07
 8,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/08
 9,Friday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/09
10,Saturday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/10
11,Sunday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/11
12,Monday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2022/09/12
13,Tuesday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/13
14,Wednesday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/14
15,Thursday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/15
16,Friday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/16
17,Saturday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/17
18,Sunday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/18
19,Monday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/19
20,Tuesday,Adjournment day (Period of mourning for HM Queen Elizabeth II),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/20
21,Wednesday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/21
22,Thursday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/22
23,Friday,Parliamentary sitting day,True,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/23
24,Saturday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/24
25,Sunday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/25
26,Monday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/26
27,Tuesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/27
28,Wednesday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/28
29,Thursday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/29
30,Friday,Adjournment day (Conference recess),False,Adjournment day (Conference recess),False,https://api.parliament.uk/egg-timer/calendar/2022/09/30
