Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/01
 2,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/02
 3,Friday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/03
 4,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/04
 5,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/05
 6,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/06
 7,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/07
 8,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/08
 9,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/09
10,Friday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/10
11,Saturday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/11
12,Sunday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/12
13,Monday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/13
14,Tuesday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/14
15,Wednesday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/15
16,Thursday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/16
17,Friday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/17
18,Saturday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/18
19,Sunday,Adjournment day (February recess),False,Adjournment day (February recess),False,https://api.parliament.uk/egg-timer/calendar/2023/02/19
20,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/20
21,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/21
22,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/22
23,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/23
24,Friday,Parliamentary sitting day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/24
25,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/25
26,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/26
27,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/27
28,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2023/02/28
