Date,Day,Commons day type,Commons scrutiny day?,Lords day type,Lords scrutiny day?,Day URL
 1,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/01
 2,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/02
 3,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/03
 4,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/04
 5,Friday,Adjournment day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/05
 6,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/06
 7,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/07
 8,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/08
 9,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/09
10,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/10
11,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/11
12,Friday,Adjournment day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/12
13,Saturday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/13
14,Sunday,Adjournment day,True,Adjournment day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/14
15,Monday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/15
16,Tuesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/16
17,Wednesday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/17
18,Thursday,Parliamentary sitting day,True,Parliamentary sitting day,True,https://api.parliament.uk/egg-timer/calendar/2025/12/18
19,Friday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/19
20,Saturday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/20
21,Sunday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/21
22,Monday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/22
23,Tuesday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/23
24,Wednesday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/24
25,Thursday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/25
26,Friday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/26
27,Saturday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/27
28,Sunday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/28
29,Monday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/29
30,Tuesday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/30
31,Wednesday,Adjournment day (Christmas recess),False,Adjournment day (Christmas recess),False,https://api.parliament.uk/egg-timer/calendar/2025/12/31
